,Qs,HeatStockTemperature,ElectricConsumption,SolarPVProduction
648,22.252,60.0,0.27,0.0
649,23.225,60.0,0.27,0.0
650,24.039,60.0,0.27,0.0
651,24.553,60.0,0.27,0.0
652,25.047,60.0,0.27,0.0
653,25.539,60.0,0.27,0.0
654,24.454,60.0,2.164,0.0
655,25.236,60.0,1.855,0.0
656,25.493,60.0,0.711,0.315
657,21.286,60.0,0.541,2.716
658,18.596,60.0,0.541,3.586
659,14.605,60.0,1.461,5.17
660,12.294,60.0,3.029,5.784
661,12.918,60.0,1.345,5.824
662,14.54,60.0,0.541,5.939
663,14.645,60.0,0.541,5.356
664,16.211,60.0,1.461,3.462
665,19.852,60.0,3.091,0.0
666,20.508,60.0,2.411,0.0
667,20.825,60.0,2.133,0.0
668,21.345,60.0,1.855,0.0
669,21.068,60.0,2.318,0.0
670,21.105,60.0,2.318,0.0
671,23.141,60.0,0.27,0.0
672,22.903,60.0,0.27,0.0
673,22.685,60.0,0.27,0.0
674,22.609,60.0,0.27,0.0
675,22.412,60.0,0.27,0.0
676,22.355,60.0,0.27,0.0
677,22.186,60.0,0.27,0.0
678,20.648,60.0,2.164,0.0
679,20.88,60.0,1.855,0.0
680,21.772,60.0,0.711,0.069
681,20.003,60.0,0.541,0.67
682,17.907,60.0,0.541,1.401
683,15.404,60.0,1.461,1.839
684,12.591,60.0,3.029,2.107
685,14.614,60.0,1.345,1.805
686,16.375,60.0,0.541,1.297
687,17.555,60.0,0.541,0.787
688,17.667,60.0,1.461,0.326
689,17.043,60.0,3.091,0.0
690,17.752,60.0,2.411,0.0
691,18.001,60.0,2.133,0.0
692,18.246,60.0,1.855,0.0
693,17.643,60.0,2.318,0.0
694,17.739,60.0,2.318,0.0
695,19.551,60.0,0.27,0.0
696,19.722,60.0,0.27,0.0
697,19.923,60.0,0.27,0.0
698,20.315,60.0,0.27,0.0
699,20.232,60.0,0.27,0.0
700,20.42,60.0,0.27,0.0
701,20.528,60.0,0.27,0.0
702,19.152,60.0,2.164,0.0
703,19.72,60.0,1.855,0.0
704,20.524,60.0,0.711,0.12
705,19.044,60.0,0.541,0.754
706,17.253,60.0,0.541,1.399
707,15.562,60.0,1.461,1.534
708,13.592,60.0,3.029,1.636
709,15.519,60.0,1.345,1.484
710,16.62,60.0,0.541,1.333
711,17.346,60.0,0.541,0.994
712,17.854,60.0,1.461,0.36
713,17.283,60.0,3.091,0.0
714,17.808,60.0,2.411,0.0
715,18.044,60.0,2.133,0.0
716,18.195,60.0,1.855,0.0
717,17.589,60.0,2.318,0.0
718,17.491,60.0,2.318,0.0
719,19.295,60.0,0.27,0.0
720,19.175,60.0,0.27,0.0
721,18.983,60.0,0.27,0.0
722,18.874,60.0,0.27,0.0
723,18.972,60.0,0.27,0.0
724,18.691,60.0,0.27,0.0
725,18.583,60.0,0.27,0.0
726,17.008,60.0,2.164,0.0
727,17.468,60.0,1.855,0.0
728,18.357,60.0,0.711,0.068
729,16.961,60.0,0.541,0.562
730,15.493,60.0,0.541,1.019
731,13.165,60.0,1.461,1.421
732,10.698,60.0,3.029,1.639
733,11.918,60.0,1.345,1.622
734,12.801,60.0,0.541,1.522
735,13.931,60.0,0.541,0.967
736,14.421,60.0,1.461,0.34
737,13.686,60.0,3.091,0.017
738,14.61,60.0,2.411,0.0
739,15.044,60.0,2.133,0.0
740,15.488,60.0,1.855,0.0
741,15.09,60.0,2.318,0.0
742,15.385,60.0,2.318,0.0
743,17.394,60.0,0.27,0.0
744,17.747,60.0,0.27,0.0
745,18.463,60.0,0.27,0.0
746,18.916,60.0,0.27,0.0
747,19.237,60.0,0.27,0.0
748,19.58,60.0,0.27,0.0
749,19.738,60.0,0.27,0.0
750,18.462,60.0,2.164,0.0
751,19.15,60.0,1.855,0.0
752,19.351,60.0,0.711,0.309
753,15.698,60.0,0.541,2.227
754,13.043,60.0,0.541,3.167
755,9.68,60.0,1.461,4.263
756,8.179,60.0,3.029,4.972
757,9.045,60.0,1.345,5.106
758,10.706,60.0,0.541,4.53
759,12.237,60.0,0.541,3.338
760,13.144,60.0,1.461,1.71
761,14.652,60.0,3.091,0.017
762,15.599,60.0,2.411,0.0
763,16.249,60.0,2.133,0.0
